,n_estimators,min_samples_split,min_samples_leaf,max_features,fitness
0,806,5,3,log2,0.7738586916439266
1,806,5,3,sqrt,0.8003031594444338
2,816,5,3,sqrt,0.8018377771998401
3,836,5,3,sqrt,0.8026072952201855
4,861,8,2,sqrt,0.8036029671494171
5,861,7,2,sqrt,0.8040555433105577
6,871,7,2,sqrt,0.8048242388586557
7,891,7,2,sqrt,0.8055944055944056
