,n_estimators,min_samples_split,min_samples_leaf,max_features,fitness,reinitialized
134,288,2,2,log2,0.8761375126390293,False
135,288,2,2,sqrt,0.8897876643073812,False
136,288,2,1,sqrt,0.890798786653185,False
137,288,3,1,sqrt,0.8918099089989889,False
138,288,4,1,sqrt,0.8938321536905965,False
139,298,4,1,sqrt,0.8933265925176946,False
140,288,4,1,sqrt,0.8938321536905965,False
141,298,4,1,sqrt,0.8933265925176946,False
142,288,4,1,sqrt,0.8938321536905965,False
143,298,4,1,sqrt,0.8933265925176946,False
144,288,4,1,sqrt,0.8938321536905965,False
145,906,9,9,log2,0.865520728008089,True
146,906,9,8,log2,0.8695652173913043,False
147,906,9,8,sqrt,0.8832153690596563,False
148,906,9,7,sqrt,0.8857431749241659,False
149,906,9,6,sqrt,0.8862487360970678,False
150,906,10,6,sqrt,0.8862487360970678,False
151,906,9,6,sqrt,0.8862487360970678,False
152,906,10,6,sqrt,0.8862487360970678,False
153,906,9,6,sqrt,0.8862487360970678,False
154,906,10,6,sqrt,0.8862487360970678,False
155,906,9,6,sqrt,0.8862487360970678,False
156,906,10,6,sqrt,0.8862487360970678,False
157,297,2,1,log2,0.8771486349848332,True
158,307,2,1,log2,0.8771486349848332,False
159,307,2,1,sqrt,0.8913043478260869,False
160,317,2,1,sqrt,0.8918099089989889,False
161,327,2,1,sqrt,0.8913043478260869,False
162,317,2,1,sqrt,0.8918099089989889,False
163,327,2,1,sqrt,0.8913043478260869,False
164,317,2,1,sqrt,0.8918099089989889,False
165,327,2,1,sqrt,0.8913043478260869,False
166,317,2,1,sqrt,0.8918099089989889,False
167,327,2,1,sqrt,0.8913043478260869,False
168,317,2,1,sqrt,0.8918099089989889,False
169,615,7,1,log2,0.878159757330637,True
170,615,7,2,log2,0.8771486349848332,False
171,615,7,2,sqrt,0.8918099089989889,False
172,615,7,1,sqrt,0.8928210313447927,False
173,605,7,1,sqrt,0.8928210313447927,False
174,595,7,1,sqrt,0.8933265925176946,False
175,605,7,1,sqrt,0.8928210313447927,False
176,595,7,1,sqrt,0.8933265925176946,False
177,605,7,1,sqrt,0.8928210313447927,False
178,595,7,1,sqrt,0.8933265925176946,False
179,605,7,1,sqrt,0.8928210313447927,False
180,595,7,1,sqrt,0.8933265925176946,False
181,993,5,7,log2,0.8700707785642062,True
182,993,5,6,log2,0.872093023255814,False
183,993,5,6,sqrt,0.8857431749241659,False
184,983,5,6,sqrt,0.8862487360970678,False
185,973,5,6,sqrt,0.8862487360970678,False
186,983,5,6,sqrt,0.8862487360970678,False
187,973,5,6,sqrt,0.8862487360970678,False
188,983,5,6,sqrt,0.8862487360970678,False
189,973,5,6,sqrt,0.8862487360970678,False
190,983,5,6,sqrt,0.8862487360970678,False
191,973,5,6,sqrt,0.8862487360970678,False
192,983,5,6,sqrt,0.8862487360970678,False
193,545,7,7,log2,0.8670374115267947,True
194,545,7,8,log2,0.8685540950455005,False
195,545,7,8,sqrt,0.8842264914054601,False
196,545,7,7,sqrt,0.8862487360970678,False
197,545,7,6,sqrt,0.8882709807886754,False
198,535,7,6,sqrt,0.8887765419615774,False
199,525,7,6,sqrt,0.8887765419615774,False
