,n_estimators,min_samples_split,min_samples_leaf,max_features,fitness
0,405,4,7,log2,0.8675429726996967
1,405,4,7,sqrt,0.8877654196157735
2,405,4,6,sqrt,0.8882709807886754
3,415,4,5,sqrt,0.8892821031344793
4,415,4,4,sqrt,0.8902932254802831
5,405,4,4,sqrt,0.8913043478260869
6,251,4,1,sqrt,0.8928210313447927
7,281,5,1,sqrt,0.8943377148634984
