,fitness
0,0.8756319514661274
1,0.8902932254802831
2,0.890798786653185
3,0.890798786653185
4,0.890798786653185
5,0.890798786653185
6,0.890798786653185
7,0.890798786653185
8,0.890798786653185
9,0.890798786653185
10,0.890798786653185
11,0.8852376137512639
12,0.8665318503538928
13,0.8852376137512639
14,0.8892821031344793
15,0.8892821031344793
16,0.8892821031344793
17,0.8892821031344793
18,0.8892821031344793
19,0.8892821031344793
20,0.8892821031344793
21,0.8892821031344793
22,0.8892821031344793
23,0.878159757330637
24,0.8786653185035389
25,0.8892821031344793
26,0.8933265925176946
27,0.8928210313447927
28,0.8933265925176946
29,0.8933265925176946
30,0.8933265925176946
31,0.8933265925176946
32,0.8933265925176946
33,0.8933265925176946
34,0.8933265925176946
35,0.8665318503538928
36,0.8695652173913043
37,0.8877654196157735
38,0.8882709807886754
39,0.8887765419615774
40,0.8887765419615774
41,0.8887765419615774
42,0.8887765419615774
43,0.8887765419615774
44,0.8887765419615774
45,0.8887765419615774
46,0.8887765419615774
47,0.8660262891809909
48,0.8670374115267947
49,0.8832153690596563
50,0.8867542972699697
51,0.8867542972699697
52,0.8867542972699697
53,0.8867542972699697
54,0.8867542972699697
55,0.8867542972699697
56,0.8867542972699697
57,0.8867542972699697
58,0.8867542972699697
59,0.8897876643073812
60,0.8786653185035389
61,0.8897876643073812
62,0.8928210313447927
63,0.8933265925176946
64,0.8928210313447927
65,0.8933265925176946
66,0.8928210313447927
67,0.8933265925176946
68,0.8928210313447927
69,0.8933265925176946
70,0.8928210313447927
71,0.8867542972699697
72,0.8670374115267947
73,0.8867542972699697
74,0.8867542972699697
75,0.8867542972699697
76,0.8867542972699697
77,0.8867542972699697
78,0.8867542972699697
79,0.8867542972699697
80,0.8867542972699697
81,0.8867542972699697
82,0.8867542972699697
83,0.8892821031344793
84,0.8801820020222447
85,0.8892821031344793
86,0.8902932254802831
87,0.8928210313447927
88,0.8923154701718908
89,0.8928210313447927
90,0.8923154701718908
91,0.8928210313447927
92,0.8923154701718908
93,0.8928210313447927
94,0.8923154701718908
95,0.8857431749241659
96,0.8710819009100101
97,0.8857431749241659
98,0.8882709807886754
99,0.8913043478260869
100,0.8913043478260869
101,0.8913043478260869
102,0.8913043478260869
103,0.8913043478260869
104,0.8913043478260869
105,0.8913043478260869
106,0.8913043478260869
107,0.8913043478260869
108,0.8887765419615774
109,0.8918099089989889
110,0.8928210313447927
111,0.8933265925176946
112,0.8928210313447927
113,0.8933265925176946
114,0.8928210313447927
115,0.8933265925176946
116,0.8928210313447927
117,0.8933265925176946
118,0.8928210313447927
119,0.871587462082912
120,0.8746208291203236
121,0.8877654196157735
122,0.8882709807886754
123,0.8882709807886754
124,0.8887765419615774
125,0.8933265925176946
126,0.8938321536905965
127,0.8943377148634984
128,0.8938321536905965
129,0.8943377148634984
130,0.8938321536905965
131,0.8943377148634984
132,0.8938321536905965
133,0.8943377148634984
134,0.8938321536905965
135,0.8897876643073812
136,0.871587462082912
137,0.8897876643073812
138,0.890798786653185
139,0.890798786653185
140,0.890798786653185
141,0.890798786653185
142,0.890798786653185
143,0.890798786653185
144,0.890798786653185
145,0.890798786653185
146,0.890798786653185
147,0.8695652173913043
148,0.8695652173913043
149,0.8832153690596563
150,0.8857431749241659
151,0.8862487360970678
152,0.8862487360970678
153,0.8862487360970678
154,0.8862487360970678
155,0.8862487360970678
156,0.8862487360970678
157,0.8862487360970678
158,0.8862487360970678
159,0.8705763397371082
160,0.871587462082912
161,0.8852376137512639
162,0.8887765419615774
163,0.8913043478260869
164,0.8913043478260869
165,0.8913043478260869
166,0.8913043478260869
167,0.8913043478260869
168,0.8913043478260869
169,0.8913043478260869
170,0.8913043478260869
171,0.8913043478260869
172,0.8892821031344793
173,0.878159757330637
174,0.8892821031344793
175,0.8923154701718908
176,0.8923154701718908
177,0.8923154701718908
178,0.8923154701718908
179,0.8923154701718908
180,0.8923154701718908
181,0.8923154701718908
182,0.8923154701718908
183,0.8923154701718908
184,0.878159757330637
185,0.8811931243680485
186,0.8887765419615774
187,0.8913043478260869
188,0.890798786653185
189,0.8918099089989889
190,0.8913043478260869
191,0.8918099089989889
192,0.8913043478260869
193,0.8918099089989889
194,0.8913043478260869
195,0.8918099089989889
196,0.8710819009100101
197,0.8710819009100101
198,0.8882709807886754
199,0.8887765419615774
