,n_estimators,min_samples_split,min_samples_leaf,max_features,fitness
0,758,9,3,log2,0.8756319514661274
1,758,9,3,sqrt,0.8902932254802831
2,768,9,3,sqrt,0.890798786653185
3,586,8,2,sqrt,0.8933265925176946
4,952,7,2,sqrt,0.8938321536905965
5,942,7,2,sqrt,0.8943377148634984
