,n_estimators,learning_rate,max_depth,subsample,fitness,reinitialized
0,130,0.16375240330018812,7,0.9991652405563597,0.8892821031344793,False
1,130,0.12375240330018811,7,0.9991652405563597,0.890798786653185,False
2,130,0.12375240330018811,8,0.9991652405563597,0.890798786653185,False
3,130,0.12375240330018811,8,0.9491652405563596,0.8993933265925177,False
4,140,0.12375240330018811,8,0.9491652405563596,0.8998988877654196,False
5,150,0.12375240330018811,8,0.9491652405563596,0.9009100101112234,False
6,140,0.12375240330018811,8,0.9491652405563596,0.8998988877654196,False
7,150,0.12375240330018811,8,0.9491652405563596,0.9009100101112234,False
8,140,0.12375240330018811,8,0.9491652405563596,0.8998988877654196,False
9,150,0.12375240330018811,8,0.9491652405563596,0.9009100101112234,False
10,140,0.12375240330018811,8,0.9491652405563596,0.8998988877654196,False
11,150,0.12375240330018811,8,0.9491652405563596,0.9009100101112234,False
12,140,0.12375240330018811,8,0.9491652405563596,0.8998988877654196,False
13,302,0.32135363567792025,12,0.7495625582653191,0.8837209302325582,True
14,302,0.28135363567792027,12,0.7495625582653191,0.8918099089989889,False
15,312,0.28135363567792027,12,0.7495625582653191,0.8918099089989889,False
16,322,0.28135363567792027,12,0.7495625582653191,0.8933265925176946,False
17,332,0.28135363567792027,12,0.7495625582653191,0.8943377148634984,False
18,322,0.28135363567792027,12,0.7495625582653191,0.8933265925176946,False
19,332,0.28135363567792027,12,0.7495625582653191,0.8943377148634984,False
20,322,0.28135363567792027,12,0.7495625582653191,0.8933265925176946,False
21,332,0.28135363567792027,12,0.7495625582653191,0.8943377148634984,False
22,322,0.28135363567792027,12,0.7495625582653191,0.8933265925176946,False
23,332,0.28135363567792027,12,0.7495625582653191,0.8943377148634984,False
24,239,0.2732121926937253,3,0.5840704001270994,0.8559150657229525,True
25,239,0.3132121926937253,3,0.5840704001270994,0.8690596562184024,False
26,249,0.3132121926937253,3,0.5840704001270994,0.872093023255814,False
27,249,0.3132121926937253,4,0.5840704001270994,0.8725985844287159,False
28,249,0.3132121926937253,5,0.5840704001270994,0.8761375126390293,False
29,259,0.3132121926937253,5,0.5840704001270994,0.8741152679474217,False
30,249,0.3132121926937253,5,0.5840704001270994,0.8761375126390293,False
31,259,0.3132121926937253,5,0.5840704001270994,0.8741152679474217,False
32,249,0.3132121926937253,5,0.5840704001270994,0.8761375126390293,False
33,259,0.3132121926937253,5,0.5840704001270994,0.8741152679474217,False
34,249,0.3132121926937253,5,0.5840704001270994,0.8761375126390293,False
35,259,0.3132121926937253,5,0.5840704001270994,0.8741152679474217,False
36,704,0.38028197043657924,6,0.7522378386330191,0.872093023255814,True
37,704,0.38028197043657924,7,0.7522378386330191,0.8756319514661274,False
38,704,0.38028197043657924,8,0.7522378386330191,0.878159757330637,False
39,704,0.34028197043657926,8,0.7522378386330191,0.8822042467138523,False
40,714,0.34028197043657926,8,0.7522378386330191,0.8827098078867543,False
41,714,0.34028197043657926,8,0.8022378386330191,0.8837209302325582,False
42,714,0.34028197043657926,8,0.8522378386330192,0.8852376137512639,False
43,714,0.34028197043657926,9,0.8522378386330192,0.8897876643073812,False
44,704,0.34028197043657926,9,0.8522378386330192,0.8897876643073812,False
45,714,0.34028197043657926,9,0.8522378386330192,0.8897876643073812,False
46,704,0.34028197043657926,9,0.8522378386330192,0.8897876643073812,False
47,714,0.34028197043657926,9,0.8522378386330192,0.8897876643073812,False
48,704,0.34028197043657926,9,0.8522378386330192,0.8897876643073812,False
49,714,0.34028197043657926,9,0.8522378386330192,0.8897876643073812,False
50,704,0.34028197043657926,9,0.8522378386330192,0.8897876643073812,False
51,714,0.34028197043657926,9,0.8522378386330192,0.8897876643073812,False
52,883,0.24165387521058132,12,0.9368104098840346,0.8948432760364005,True
53,893,0.24165387521058132,12,0.9368104098840346,0.8953488372093024,False
54,903,0.24165387521058132,12,0.9368104098840346,0.8958543983822043,False
55,913,0.24165387521058132,12,0.9368104098840346,0.8953488372093024,False
56,903,0.24165387521058132,12,0.9368104098840346,0.8958543983822043,False
57,913,0.24165387521058132,12,0.9368104098840346,0.8953488372093024,False
58,903,0.24165387521058132,12,0.9368104098840346,0.8958543983822043,False
59,913,0.24165387521058132,12,0.9368104098840346,0.8953488372093024,False
60,903,0.24165387521058132,12,0.9368104098840346,0.8958543983822043,False
61,913,0.24165387521058132,12,0.9368104098840346,0.8953488372093024,False
