,n_estimators,min_samples_split,min_samples_leaf,max_features,fitness
0,83,7,5,log2,0.8700707785642062
1,83,7,5,sqrt,0.884732052578362
2,73,7,5,sqrt,0.8882709807886754
3,63,7,5,sqrt,0.8887765419615774
4,470,7,3,sqrt,0.8897876643073812
5,470,7,2,sqrt,0.8923154701718908
6,223,4,1,sqrt,0.8933265925176946
7,662,5,1,sqrt,0.8938321536905965
8,672,5,1,sqrt,0.8948432760364005
