,n_estimators,learning_rate,max_depth,subsample,fitness
0,102,0.4522419140257871,4,0.3587307654455112,0.8377148634984833
1,92,0.4522419140257871,4,0.3587307654455112,0.8407482305358949
2,82,0.4522419140257871,4,0.3587307654455112,0.8432760364004045
3,62,0.4522419140257871,4,0.3587307654455112,0.8452982810920121
4,62,0.4522419140257871,4,0.4087307654455112,0.845803842264914
5,62,0.41224191402578714,4,0.4087307654455112,0.8523761375126391
6,72,0.41224191402578714,4,0.4087307654455112,0.8543983822042467
7,72,0.41224191402578714,4,0.45873076544551117,0.8569261880687563
8,72,0.37224191402578716,4,0.45873076544551117,0.8604651162790697
9,62,0.37224191402578716,4,0.45873076544551117,0.8665318503538928
10,867,0.4555535507198023,10,0.9667287656033844,0.8897876643073812
11,877,0.4555535507198023,10,0.9667287656033844,0.8913043478260869
12,154,0.06904866672765567,11,0.6447616024250872,0.8918099089989889
13,144,0.06904866672765567,11,0.6447616024250872,0.8938321536905965
14,533,0.11114503698175511,8,0.8646439431011931,0.8958543983822043
15,543,0.11114503698175511,8,0.8646439431011931,0.8963599595551062
16,543,0.07114503698175512,8,0.8646439431011931,0.89737108190091
17,543,0.07114503698175512,8,0.9146439431011931,0.8983822042467139
18,563,0.07114503698175512,8,0.9146439431011931,0.8993933265925177
19,573,0.07114503698175512,8,0.9146439431011931,0.8998988877654196
