,n_estimators,learning_rate,max_depth,subsample,fitness
0,909,0.43591121379496794,6,0.46410271534963565,0.858948432760364
1,909,0.43591121379496794,6,0.41410271534963566,0.8645096056622852
2,919,0.43591121379496794,6,0.41410271534963566,0.8650151668351871
3,208,0.44909740564900286,9,0.5309257351753957,0.865520728008089
4,208,0.4090974056490029,9,0.5309257351753957,0.8685540950455005
5,208,0.4090974056490029,9,0.5809257351753957,0.8725985844287159
6,188,0.4090974056490029,9,0.5809257351753957,0.8741152679474217
7,188,0.4090974056490029,10,0.6309257351753957,0.8811931243680485
8,198,0.4090974056490029,10,0.6309257351753957,0.8827098078867543
9,208,0.4090974056490029,10,0.6309257351753957,0.8832153690596563
10,228,0.4090974056490029,10,0.6309257351753957,0.8842264914054601
11,508,0.012629595768191944,10,0.5454953506701992,0.8928210313447927
12,518,0.012629595768191944,10,0.5454953506701992,0.8933265925176946
13,528,0.012629595768191944,10,0.5454953506701992,0.8938321536905965
14,558,0.012629595768191944,10,0.5454953506701992,0.8943377148634984
15,337,0.06426633706916288,12,0.7798061917923166,0.8948432760364005
16,813,0.07514715294422496,6,0.8963169857070924,0.8953488372093024
17,813,0.07514715294422496,6,0.9463169857070924,0.8983822042467139
18,823,0.07514715294422496,6,0.9463169857070924,0.8988877654196158
