,n_estimators,min_samples_split,min_samples_leaf,max_features,fitness
0,994,6,1,sqrt,0.8902932254802831
1,994,7,1,sqrt,0.8928210313447927
2,874,7,2,sqrt,0.8938321536905965
3,894,7,2,sqrt,0.8943377148634984
4,703,5,1,sqrt,0.8953488372093024
