,n_estimators,learning_rate,max_depth,subsample,fitness,reinitialized
0,729,0.12502223783268263,5,0.95697003262776,0.8832153690596563,False
1,729,0.08502223783268262,5,0.95697003262776,0.89737108190091,False
2,739,0.08502223783268262,5,0.95697003262776,0.8983822042467139,False
3,749,0.08502223783268262,5,0.95697003262776,0.8983822042467139,False
4,759,0.08502223783268262,5,0.95697003262776,0.8983822042467139,False
5,769,0.08502223783268262,5,0.95697003262776,0.9009100101112234,False
6,779,0.08502223783268262,5,0.95697003262776,0.8983822042467139,False
7,769,0.08502223783268262,5,0.95697003262776,0.9009100101112234,False
8,779,0.08502223783268262,5,0.95697003262776,0.8983822042467139,False
9,769,0.08502223783268262,5,0.95697003262776,0.9009100101112234,False
10,779,0.08502223783268262,5,0.95697003262776,0.8983822042467139,False
11,646,0.3235768639896314,11,0.38093586118819367,0.8670374115267947,True
12,656,0.3235768639896314,11,0.38093586118819367,0.8660262891809909,False
13,666,0.3235768639896314,11,0.38093586118819367,0.8675429726996967,False
14,676,0.3235768639896314,11,0.38093586118819367,0.8665318503538928,False
15,666,0.3235768639896314,11,0.38093586118819367,0.8675429726996967,False
16,676,0.3235768639896314,11,0.38093586118819367,0.8665318503538928,False
17,666,0.3235768639896314,11,0.38093586118819367,0.8675429726996967,False
18,676,0.3235768639896314,11,0.38093586118819367,0.8665318503538928,False
19,666,0.3235768639896314,11,0.38093586118819367,0.8675429726996967,False
20,676,0.3235768639896314,11,0.38093586118819367,0.8665318503538928,False
21,666,0.3235768639896314,11,0.38093586118819367,0.8675429726996967,False
22,343,0.3599098079039182,4,0.4129070919340505,0.8564206268958544,True
23,343,0.3599098079039182,4,0.4629070919340505,0.8564206268958544,False
24,353,0.3599098079039182,4,0.4629070919340505,0.8599595551061678,False
25,363,0.3599098079039182,4,0.4629070919340505,0.8604651162790697,False
26,353,0.3599098079039182,4,0.4629070919340505,0.8599595551061678,False
27,363,0.3599098079039182,4,0.4629070919340505,0.8604651162790697,False
28,353,0.3599098079039182,4,0.4629070919340505,0.8599595551061678,False
29,363,0.3599098079039182,4,0.4629070919340505,0.8604651162790697,False
30,353,0.3599098079039182,4,0.4629070919340505,0.8599595551061678,False
31,363,0.3599098079039182,4,0.4629070919340505,0.8604651162790697,False
32,353,0.3599098079039182,4,0.4629070919340505,0.8599595551061678,False
33,545,0.028412341663786776,5,0.5219277564770856,0.8786653185035389,True
34,545,0.028412341663786776,6,0.5219277564770856,0.8877654196157735,False
35,545,0.028412341663786776,6,0.5719277564770856,0.8918099089989889,False
36,545,0.028412341663786776,7,0.5719277564770856,0.8943377148634984,False
37,535,0.028412341663786776,7,0.5719277564770856,0.8953488372093024,False
38,545,0.028412341663786776,7,0.5719277564770856,0.8943377148634984,False
39,535,0.028412341663786776,7,0.5719277564770856,0.8953488372093024,False
40,545,0.028412341663786776,7,0.5719277564770856,0.8943377148634984,False
41,535,0.028412341663786776,7,0.5719277564770856,0.8953488372093024,False
42,545,0.028412341663786776,7,0.5719277564770856,0.8943377148634984,False
