,n_estimators,min_samples_split,min_samples_leaf,max_features,fitness
0,941,4,8,log2,0.8690596562184024
1,941,4,8,sqrt,0.8816986855409504
2,941,4,7,sqrt,0.8862487360970678
3,941,4,6,sqrt,0.8867542972699697
4,694,6,1,sqrt,0.8897876643073812
5,694,5,1,sqrt,0.8933265925176946
6,704,5,1,sqrt,0.8953488372093024
