,n_estimators,min_samples_split,min_samples_leaf,max_features,fitness
0,947,3,2,log2,0.8771486349848332
1,947,3,2,sqrt,0.8913043478260869
2,967,3,2,sqrt,0.8918099089989889
3,967,4,1,sqrt,0.8923154701718908
4,545,5,1,sqrt,0.8933265925176946
5,218,10,3,sqrt,0.8938321536905965
