,n_estimators,learning_rate,max_depth,subsample,fitness
0,519,0.11117294955946544,4,0.6899479357285621,0.8796764408493428
1,519,0.11117294955946544,5,0.6899479357285621,0.8882709807886754
2,549,0.11117294955946544,5,0.6899479357285621,0.8892821031344793
3,569,0.11117294955946544,5,0.6899479357285621,0.890798786653185
4,382,0.08013470555316772,6,0.7098744800869619,0.8913043478260869
5,382,0.08013470555316772,6,0.6598744800869618,0.8968655207280081
6,392,0.08013470555316772,6,0.6598744800869618,0.89737108190091
7,402,0.08013470555316772,6,0.6598744800869618,0.897876643073812
8,730,0.06365549721301034,7,0.8897782853615444,0.8988877654196158
9,484,0.3074287000149177,8,0.9801285820195511,0.8998988877654196
