,n_estimators,learning_rate,max_depth,subsample,fitness
0,158,0.14178543682743508,9,0.4370662500115,0.8690596562184024
1,158,0.10178543682743507,9,0.4370662500115,0.8816986855409504
2,158,0.06178543682743507,9,0.4370662500115,0.8867542972699697
3,178,0.06178543682743507,9,0.4370662500115,0.8882709807886754
4,243,0.19387765112008,8,0.9817353709424259,0.8923154701718908
5,233,0.19387765112008,8,0.9817353709424259,0.8938321536905965
6,120,0.1025242728947853,8,0.8466790140542169,0.8953488372093024
7,80,0.06406441473067082,12,0.901371783703609,0.8963599595551062
8,100,0.06406441473067082,12,0.901371783703609,0.89737108190091
9,110,0.06406441473067082,12,0.901371783703609,0.9004044489383215
