,n_estimators,learning_rate,max_depth,subsample,fitness,reinitialized
0,702,0.14636280600977453,6,0.7530555237342544,0.7895357353569467,False
1,702,0.10636280600977452,6,0.7530555237342544,0.7945303643724696,False
2,702,0.10636280600977452,7,0.7530555237342544,0.8011199195934464,False
3,712,0.10636280600977452,7,0.7530555237342544,0.8021194573930996,False
4,702,0.10636280600977452,7,0.7530555237342544,0.8011199195934464,False
5,712,0.10636280600977452,7,0.7530555237342544,0.8021194573930996,False
6,702,0.10636280600977452,7,0.7530555237342544,0.8011199195934464,False
7,712,0.10636280600977452,7,0.7530555237342544,0.8021194573930996,False
8,702,0.10636280600977452,7,0.7530555237342544,0.8011199195934464,False
9,712,0.10636280600977452,7,0.7530555237342544,0.8021194573930996,False
10,702,0.10636280600977452,7,0.7530555237342544,0.8011199195934464,False
11,712,0.10636280600977452,7,0.7530555237342544,0.8021194573930996,False
12,750,0.2018680122422826,11,0.7616548065922368,0.788224567829831,True
13,750,0.2018680122422826,12,0.7616548065922368,0.7934265371651941,False
14,740,0.2018680122422826,12,0.7616548065922368,0.7929976733662506,False
15,730,0.2018680122422826,12,0.7616548065922368,0.7939953353282874,False
16,740,0.2018680122422826,12,0.7616548065922368,0.7929976733662506,False
17,730,0.2018680122422826,12,0.7616548065922368,0.7939953353282874,False
18,740,0.2018680122422826,12,0.7616548065922368,0.7929976733662506,False
19,730,0.2018680122422826,12,0.7616548065922368,0.7939953353282874,False
20,740,0.2018680122422826,12,0.7616548065922368,0.7929976733662506,False
21,730,0.2018680122422826,12,0.7616548065922368,0.7939953353282874,False
22,740,0.2018680122422826,12,0.7616548065922368,0.7929976733662506,False
23,742,0.26253686453829533,6,0.4851025399460067,0.7506433477027978,True
24,742,0.22253686453829533,6,0.4851025399460067,0.7630409535945288,False
25,752,0.22253686453829533,6,0.4851025399460067,0.7677793904208998,False
26,752,0.22253686453829533,5,0.4851025399460067,0.767507358268893,False
27,752,0.22253686453829533,6,0.4851025399460067,0.7677793904208998,False
