,n_estimators,learning_rate,max_depth,subsample,fitness
0,804,0.3019143935983573,5,0.35588070874530275,0.7342121522527356
1,804,0.3019143935983573,5,0.40588070874530274,0.7428924648870369
2,804,0.3419143935983573,5,0.40588070874530274,0.7536732107605314
3,814,0.3419143935983573,5,0.40588070874530274,0.7548887369338342
4,499,0.3138420461177953,8,0.43792628745222695,0.7560406148684614
5,499,0.27384204611779533,8,0.43792628745222695,0.7590647773279352
6,499,0.27384204611779533,8,0.48792628745222694,0.7697210432541964
7,489,0.27384204611779533,8,0.48792628745222694,0.7707174219405502
8,878,0.10692166725751866,6,0.4470869501201754,0.7771939747558944
9,888,0.10692166725751866,6,0.4470869501201754,0.7794865823510444
10,729,0.08225996737722006,4,0.608159374246677,0.7844521937202695
11,739,0.08225996737722006,4,0.608159374246677,0.786663727101455
12,685,0.025692140259330705,11,0.7060382370714362,0.7966341192347385
13,685,0.025692140259330705,11,0.6560382370714362,0.7988449282009109
14,695,0.025692140259330705,11,0.6560382370714362,0.7990624334114639
15,134,0.16452282021174117,8,0.7242956691140352,0.8019327879159208
16,144,0.16452282021174117,8,0.7242956691140352,0.804319492641861
17,154,0.16452282021174117,8,0.7242956691140352,0.8063183949973945
