,n_estimators,min_samples_split,min_samples_leaf,max_features,fitness
0,789,7,7,sqrt,0.7925168948994047
1,463,9,6,sqrt,0.7975485519723269
2,543,6,2,sqrt,0.7983132198073914
3,543,7,2,sqrt,0.8005328507515206
4,543,8,2,sqrt,0.8042834316854687
5,870,7,2,sqrt,0.8048242388586557
