,n_estimators,learning_rate,max_depth,subsample,fitness,reinitialized
0,377,0.37946531667849476,10,0.45119578140473093,0.8599595551061678,False
1,377,0.37946531667849476,9,0.45119578140473093,0.8690596562184024,False
2,367,0.37946531667849476,9,0.45119578140473093,0.8685540950455005,False
3,357,0.37946531667849476,9,0.45119578140473093,0.8695652173913043,False
4,367,0.37946531667849476,9,0.45119578140473093,0.8685540950455005,False
5,357,0.37946531667849476,9,0.45119578140473093,0.8695652173913043,False
6,367,0.37946531667849476,9,0.45119578140473093,0.8685540950455005,False
7,357,0.37946531667849476,9,0.45119578140473093,0.8695652173913043,False
8,367,0.37946531667849476,9,0.45119578140473093,0.8685540950455005,False
9,357,0.37946531667849476,9,0.45119578140473093,0.8695652173913043,False
10,367,0.37946531667849476,9,0.45119578140473093,0.8685540950455005,False
11,799,0.16797955272694662,4,0.3805049521542866,0.8604651162790697,True
12,799,0.16797955272694662,4,0.4305049521542866,0.865520728008089,False
13,799,0.16797955272694662,5,0.4305049521542866,0.8756319514661274,False
14,799,0.16797955272694662,5,0.48050495215428657,0.8791708796764408,False
15,799,0.20797955272694663,5,0.48050495215428657,0.878159757330637,False
16,799,0.20797955272694663,5,0.5305049521542866,0.8796764408493428,False
17,799,0.20797955272694663,5,0.5805049521542867,0.8811931243680485,False
18,789,0.20797955272694663,5,0.5805049521542867,0.8801820020222447,False
19,799,0.20797955272694663,5,0.5805049521542867,0.8811931243680485,False
20,789,0.20797955272694663,5,0.5805049521542867,0.8801820020222447,False
21,799,0.20797955272694663,5,0.5805049521542867,0.8811931243680485,False
22,789,0.20797955272694663,5,0.5805049521542867,0.8801820020222447,False
23,96,0.0923688031981827,10,0.6869598223921409,0.8872598584428716,True
24,96,0.0923688031981827,10,0.736959822392141,0.8892821031344793,False
25,86,0.0923688031981827,10,0.736959822392141,0.8897876643073812,False
26,76,0.0923688031981827,10,0.736959822392141,0.8897876643073812,False
27,86,0.0923688031981827,10,0.736959822392141,0.8897876643073812,False
28,76,0.0923688031981827,10,0.736959822392141,0.8897876643073812,False
29,86,0.0923688031981827,10,0.736959822392141,0.8897876643073812,False
30,76,0.0923688031981827,10,0.736959822392141,0.8897876643073812,False
31,86,0.0923688031981827,10,0.736959822392141,0.8897876643073812,False
32,76,0.0923688031981827,10,0.736959822392141,0.8897876643073812,False
33,86,0.0923688031981827,10,0.736959822392141,0.8897876643073812,False
34,120,0.2687247046904086,4,0.48363165905770467,0.8538928210313448,True
35,120,0.2687247046904086,4,0.5336316590577047,0.8650151668351871,False
36,120,0.2687247046904086,5,0.5336316590577047,0.8746208291203236,False
