,n_estimators,min_samples_split,min_samples_leaf,max_features,fitness,reinitialized
0,256,8,7,log2,0.8680485338725986,False
1,256,8,7,sqrt,0.8902932254802831,False
2,266,8,7,sqrt,0.8902932254802831,False
3,256,8,7,sqrt,0.8902932254802831,False
4,266,8,7,sqrt,0.8902932254802831,False
5,256,8,7,sqrt,0.8902932254802831,False
6,266,8,7,sqrt,0.8902932254802831,False
7,256,8,7,sqrt,0.8902932254802831,False
8,266,8,7,sqrt,0.8902932254802831,False
9,256,8,7,sqrt,0.8902932254802831,False
10,266,8,7,sqrt,0.8902932254802831,False
11,223,3,7,log2,0.8690596562184024,True
12,223,3,6,log2,0.8690596562184024,False
13,223,3,6,sqrt,0.8882709807886754,False
14,223,3,7,sqrt,0.8892821031344793,False
15,223,4,7,sqrt,0.8892821031344793,False
16,223,5,7,sqrt,0.8892821031344793,False
17,223,6,7,sqrt,0.8892821031344793,False
18,223,7,7,sqrt,0.8892821031344793,False
19,223,8,7,sqrt,0.8892821031344793,False
20,223,9,7,sqrt,0.8892821031344793,False
21,223,10,7,sqrt,0.8892821031344793,False
22,223,9,7,sqrt,0.8892821031344793,False
23,278,7,3,log2,0.8710819009100101,True
24,278,8,3,log2,0.8776541961577351,False
25,278,8,3,sqrt,0.8892821031344793,False
26,278,8,2,sqrt,0.8913043478260869,False
27,288,8,2,sqrt,0.890798786653185,False
28,288,7,2,sqrt,0.8918099089989889,False
29,298,7,2,sqrt,0.8913043478260869,False
30,288,7,2,sqrt,0.8918099089989889,False
31,298,7,2,sqrt,0.8913043478260869,False
32,288,7,2,sqrt,0.8918099089989889,False
33,298,7,2,sqrt,0.8913043478260869,False
34,288,7,2,sqrt,0.8918099089989889,False
35,388,8,1,sqrt,0.8897876643073812,True
36,388,8,1,log2,0.8796764408493428,False
37,388,8,1,sqrt,0.8897876643073812,False
38,388,9,1,sqrt,0.8913043478260869,False
39,398,9,1,sqrt,0.8918099089989889,False
40,408,9,1,sqrt,0.8913043478260869,False
41,398,9,1,sqrt,0.8918099089989889,False
42,408,9,1,sqrt,0.8913043478260869,False
43,398,9,1,sqrt,0.8918099089989889,False
44,408,9,1,sqrt,0.8913043478260869,False
45,398,9,1,sqrt,0.8918099089989889,False
46,408,9,1,sqrt,0.8913043478260869,False
47,381,10,3,sqrt,0.890798786653185,True
48,381,10,3,log2,0.8746208291203236,False
49,381,10,3,sqrt,0.890798786653185,False
50,391,10,3,sqrt,0.8913043478260869,False
51,401,10,3,sqrt,0.890798786653185,False
52,411,10,3,sqrt,0.8913043478260869,False
53,421,10,3,sqrt,0.8913043478260869,False
54,411,10,3,sqrt,0.8913043478260869,False
55,421,10,3,sqrt,0.8913043478260869,False
56,411,10,3,sqrt,0.8913043478260869,False
57,421,10,3,sqrt,0.8913043478260869,False
58,411,10,3,sqrt,0.8913043478260869,False
59,448,4,3,sqrt,0.8913043478260869,True
60,438,4,3,sqrt,0.8913043478260869,False
61,448,4,3,sqrt,0.8913043478260869,False
62,438,4,3,sqrt,0.8913043478260869,False
63,448,4,3,sqrt,0.8913043478260869,False
64,438,4,3,sqrt,0.8913043478260869,False
65,448,4,3,sqrt,0.8913043478260869,False
66,438,4,3,sqrt,0.8913043478260869,False
67,448,4,3,sqrt,0.8913043478260869,False
68,438,4,3,sqrt,0.8913043478260869,False
69,448,4,3,sqrt,0.8913043478260869,False
70,932,9,7,log2,0.8690596562184024,True
71,932,9,6,log2,0.8710819009100101,False
72,932,9,6,sqrt,0.8862487360970678,False
73,942,9,6,sqrt,0.8862487360970678,False
74,952,9,6,sqrt,0.8862487360970678,False
75,962,9,6,sqrt,0.8862487360970678,False
76,962,9,7,sqrt,0.8867542972699697,False
77,962,10,7,sqrt,0.8867542972699697,False
78,962,9,7,sqrt,0.8867542972699697,False
79,962,10,7,sqrt,0.8867542972699697,False
80,962,9,7,sqrt,0.8867542972699697,False
81,962,10,7,sqrt,0.8867542972699697,False
82,737,4,6,log2,0.8695652173913043,True
83,737,4,5,log2,0.872093023255814,False
84,737,4,5,sqrt,0.8862487360970678,False
85,737,4,4,sqrt,0.8892821031344793,False
86,737,4,3,sqrt,0.8902932254802831,False
87,747,4,3,sqrt,0.8913043478260869,False
88,747,4,2,sqrt,0.8918099089989889,False
89,747,4,1,sqrt,0.8923154701718908,False
90,747,5,1,sqrt,0.8943377148634984,False
91,737,5,1,sqrt,0.8948432760364005,False
92,747,5,1,sqrt,0.8943377148634984,False
93,737,5,1,sqrt,0.8948432760364005,False
94,747,5,1,sqrt,0.8943377148634984,False
95,737,5,1,sqrt,0.8948432760364005,False
96,792,5,3,sqrt,0.8897876643073812,True
97,802,5,3,sqrt,0.890798786653185,False
98,812,5,3,sqrt,0.8918099089989889,False
99,822,5,3,sqrt,0.8923154701718908,False
100,832,5,3,sqrt,0.8923154701718908,False
101,842,5,3,sqrt,0.8928210313447927,False
102,842,6,3,sqrt,0.8928210313447927,False
103,842,5,3,sqrt,0.8928210313447927,False
104,842,6,3,sqrt,0.8928210313447927,False
105,842,5,3,sqrt,0.8928210313447927,False
106,842,6,3,sqrt,0.8928210313447927,False
107,726,7,3,sqrt,0.8913043478260869,True
108,726,7,2,sqrt,0.8918099089989889,False
109,736,7,2,sqrt,0.8918099089989889,False
110,746,7,2,sqrt,0.8923154701718908,False
111,756,7,2,sqrt,0.8923154701718908,False
112,746,7,2,sqrt,0.8923154701718908,False
113,756,7,2,sqrt,0.8923154701718908,False
114,746,7,2,sqrt,0.8923154701718908,False
115,756,7,2,sqrt,0.8923154701718908,False
116,746,7,2,sqrt,0.8923154701718908,False
117,756,7,2,sqrt,0.8923154701718908,False
118,544,10,2,sqrt,0.8887765419615774,True
119,544,10,1,sqrt,0.8918099089989889,False
120,554,10,1,sqrt,0.8918099089989889,False
121,544,10,1,sqrt,0.8918099089989889,False
122,554,10,1,sqrt,0.8918099089989889,False
123,544,10,1,sqrt,0.8918099089989889,False
124,554,10,1,sqrt,0.8918099089989889,False
125,544,10,1,sqrt,0.8918099089989889,False
126,554,10,1,sqrt,0.8918099089989889,False
127,544,10,1,sqrt,0.8918099089989889,False
128,554,10,1,sqrt,0.8918099089989889,False
129,198,6,2,sqrt,0.890798786653185,True
130,198,6,2,log2,0.8801820020222447,False
131,198,6,2,sqrt,0.890798786653185,False
132,188,6,2,sqrt,0.8913043478260869,False
133,188,6,1,sqrt,0.8918099089989889,False
134,178,6,1,sqrt,0.8928210313447927,False
135,178,5,1,sqrt,0.8923154701718908,False
136,188,5,1,sqrt,0.8928210313447927,False
137,198,5,1,sqrt,0.8938321536905965,False
138,208,5,1,sqrt,0.8933265925176946,False
139,198,5,1,sqrt,0.8938321536905965,False
140,208,5,1,sqrt,0.8933265925176946,False
141,653,4,7,log2,0.8665318503538928,True
142,653,4,8,log2,0.8690596562184024,False
143,653,4,8,sqrt,0.8832153690596563,False
144,653,4,7,sqrt,0.8852376137512639,False
145,653,4,6,sqrt,0.8877654196157735,False
146,663,4,6,sqrt,0.8887765419615774,False
147,663,5,6,sqrt,0.8887765419615774,False
148,663,6,6,sqrt,0.8887765419615774,False
149,663,7,6,sqrt,0.8887765419615774,False
150,663,8,6,sqrt,0.8887765419615774,False
151,663,9,6,sqrt,0.8887765419615774,False
152,663,10,6,sqrt,0.8887765419615774,False
153,663,9,6,sqrt,0.8887765419615774,False
154,570,2,1,sqrt,0.8923154701718908,True
155,570,2,1,log2,0.8776541961577351,False
156,570,2,1,sqrt,0.8923154701718908,False
157,580,2,1,sqrt,0.8923154701718908,False
158,590,2,1,sqrt,0.8938321536905965,False
159,600,2,1,sqrt,0.8933265925176946,False
160,590,2,1,sqrt,0.8938321536905965,False
161,600,2,1,sqrt,0.8933265925176946,False
162,590,2,1,sqrt,0.8938321536905965,False
163,600,2,1,sqrt,0.8933265925176946,False
164,590,2,1,sqrt,0.8938321536905965,False
165,600,2,1,sqrt,0.8933265925176946,False
166,94,2,9,sqrt,0.8842264914054601,True
167,94,3,9,sqrt,0.8842264914054601,False
168,94,4,9,sqrt,0.8842264914054601,False
169,94,5,9,sqrt,0.8842264914054601,False
170,94,6,9,sqrt,0.8842264914054601,False
171,94,7,9,sqrt,0.8842264914054601,False
172,94,8,9,sqrt,0.8842264914054601,False
173,94,9,9,sqrt,0.8842264914054601,False
174,94,10,9,sqrt,0.8842264914054601,False
175,94,9,9,sqrt,0.8842264914054601,False
176,94,10,9,sqrt,0.8842264914054601,False
177,181,7,4,sqrt,0.8887765419615774,True
178,181,7,4,log2,0.8710819009100101,False
179,181,7,4,sqrt,0.8887765419615774,False
180,191,7,4,sqrt,0.8887765419615774,False
181,201,7,4,sqrt,0.8897876643073812,False
182,211,7,4,sqrt,0.8897876643073812,False
183,201,7,4,sqrt,0.8897876643073812,False
184,211,7,4,sqrt,0.8897876643073812,False
185,201,7,4,sqrt,0.8897876643073812,False
186,211,7,4,sqrt,0.8897876643073812,False
187,201,7,4,sqrt,0.8897876643073812,False
188,211,7,4,sqrt,0.8897876643073812,False
189,641,10,3,log2,0.8736097067745198,True
190,641,10,2,log2,0.8801820020222447,False
191,641,10,2,sqrt,0.8897876643073812,False
192,641,10,1,sqrt,0.890798786653185,False
193,641,9,1,sqrt,0.8913043478260869,False
194,651,9,1,sqrt,0.8913043478260869,False
195,661,9,1,sqrt,0.8913043478260869,False
196,671,9,1,sqrt,0.8913043478260869,False
197,661,9,1,sqrt,0.8913043478260869,False
198,671,9,1,sqrt,0.8913043478260869,False
199,661,9,1,sqrt,0.8913043478260869,False
