,n_estimators,min_samples_split,min_samples_leaf,max_features,fitness
0,256,8,7,log2,0.8680485338725986
1,256,8,7,sqrt,0.8902932254802831
2,278,8,2,sqrt,0.8913043478260869
3,288,7,2,sqrt,0.8918099089989889
4,747,4,1,sqrt,0.8923154701718908
5,747,5,1,sqrt,0.8943377148634984
6,737,5,1,sqrt,0.8948432760364005
