,n_estimators,min_samples_split,min_samples_leaf,max_features,fitness,reinitialized
0,357,6,9,sqrt,0.8827098078867543,False
1,357,6,8,sqrt,0.884732052578362,False
2,357,6,7,sqrt,0.8862487360970678,False
3,357,6,6,sqrt,0.8882709807886754,False
4,357,7,6,sqrt,0.8882709807886754,False
5,357,8,6,sqrt,0.8882709807886754,False
6,357,9,6,sqrt,0.8882709807886754,False
7,357,10,6,sqrt,0.8882709807886754,False
8,357,9,6,sqrt,0.8882709807886754,False
9,357,10,6,sqrt,0.8882709807886754,False
10,357,9,6,sqrt,0.8882709807886754,False
11,80,10,7,sqrt,0.8852376137512639,True
12,90,10,7,sqrt,0.8862487360970678,False
13,100,10,7,sqrt,0.8872598584428716,False
14,100,9,7,sqrt,0.8872598584428716,False
15,100,10,7,sqrt,0.8872598584428716,False
16,100,9,7,sqrt,0.8872598584428716,False
17,100,10,7,sqrt,0.8872598584428716,False
18,100,9,7,sqrt,0.8872598584428716,False
19,100,10,7,sqrt,0.8872598584428716,False
20,100,9,7,sqrt,0.8872598584428716,False
21,100,10,7,sqrt,0.8872598584428716,False
22,587,6,1,log2,0.8786653185035389,True
23,587,6,1,sqrt,0.890798786653185,False
24,587,5,1,sqrt,0.8943377148634984,False
25,597,5,1,sqrt,0.8943377148634984,False
26,587,5,1,sqrt,0.8943377148634984,False
27,597,5,1,sqrt,0.8943377148634984,False
28,587,5,1,sqrt,0.8943377148634984,False
29,597,5,1,sqrt,0.8943377148634984,False
30,587,5,1,sqrt,0.8943377148634984,False
31,597,5,1,sqrt,0.8943377148634984,False
32,587,5,1,sqrt,0.8943377148634984,False
33,217,4,5,sqrt,0.8877654196157735,True
34,217,4,5,log2,0.8731041456016178,False
35,217,4,5,sqrt,0.8877654196157735,False
36,217,4,6,sqrt,0.8887765419615774,False
37,217,5,6,sqrt,0.8887765419615774,False
38,217,6,6,sqrt,0.8887765419615774,False
39,217,7,6,sqrt,0.8887765419615774,False
