,fitness
0,0.7394039721639595
1,0.7680119812376868
2,0.7761995764681576
3,0.7797157648405001
4,0.7838923373845913
5,0.7861055269352667
6,0.7965284006885016
7,0.7984133126934985
8,0.7997704740348752
