,n_estimators,min_samples_split,min_samples_leaf,max_features,fitness,reinitialized
0,146,5,2,log2,0.8766430738119313,False
1,146,5,2,sqrt,0.8882709807886754,False
2,146,6,2,sqrt,0.890798786653185,False
3,146,6,1,sqrt,0.890798786653185,False
4,146,5,1,sqrt,0.890798786653185,False
5,156,5,1,sqrt,0.8928210313447927,False
6,166,5,1,sqrt,0.8933265925176946,False
7,176,5,1,sqrt,0.8933265925176946,False
8,166,5,1,sqrt,0.8933265925176946,False
9,176,5,1,sqrt,0.8933265925176946,False
10,166,5,1,sqrt,0.8933265925176946,False
11,176,5,1,sqrt,0.8933265925176946,False
12,396,10,2,sqrt,0.8897876643073812,True
13,396,10,2,log2,0.8786653185035389,False
14,396,10,2,sqrt,0.8897876643073812,False
15,396,10,1,sqrt,0.8913043478260869,False
16,396,9,1,sqrt,0.8923154701718908,False
17,406,9,1,sqrt,0.8913043478260869,False
18,396,9,1,sqrt,0.8923154701718908,False
19,406,9,1,sqrt,0.8913043478260869,False
20,396,9,1,sqrt,0.8923154701718908,False
21,406,9,1,sqrt,0.8913043478260869,False
22,396,9,1,sqrt,0.8923154701718908,False
23,406,9,1,sqrt,0.8913043478260869,False
24,65,2,6,sqrt,0.8857431749241659,True
25,65,2,6,log2,0.8640040444893832,False
26,65,2,6,sqrt,0.8857431749241659,False
27,55,2,6,sqrt,0.8877654196157735,False
28,55,3,6,sqrt,0.8877654196157735,False
29,55,4,6,sqrt,0.8877654196157735,False
30,55,5,6,sqrt,0.8877654196157735,False
31,55,6,6,sqrt,0.8877654196157735,False
32,55,7,6,sqrt,0.8877654196157735,False
33,55,8,6,sqrt,0.8877654196157735,False
34,55,9,6,sqrt,0.8877654196157735,False
35,55,10,6,sqrt,0.8877654196157735,False
36,148,9,3,sqrt,0.8892821031344793,True
37,148,10,3,sqrt,0.8902932254802831,False
38,158,10,3,sqrt,0.8918099089989889,False
39,168,10,3,sqrt,0.8913043478260869,False
40,158,10,3,sqrt,0.8918099089989889,False
41,168,10,3,sqrt,0.8913043478260869,False
42,158,10,3,sqrt,0.8918099089989889,False
43,168,10,3,sqrt,0.8913043478260869,False
44,158,10,3,sqrt,0.8918099089989889,False
45,168,10,3,sqrt,0.8913043478260869,False
46,158,10,3,sqrt,0.8918099089989889,False
47,311,3,4,sqrt,0.8897876643073812,True
48,311,3,4,log2,0.871587462082912,False
49,311,3,4,sqrt,0.8897876643073812,False
50,321,3,4,sqrt,0.8902932254802831,False
51,321,4,4,sqrt,0.8902932254802831,False
52,321,5,4,sqrt,0.8902932254802831,False
53,321,6,4,sqrt,0.8902932254802831,False
54,321,7,4,sqrt,0.8902932254802831,False
55,321,8,4,sqrt,0.8902932254802831,False
56,321,7,4,sqrt,0.8902932254802831,False
57,321,8,4,sqrt,0.8902932254802831,False
58,321,7,4,sqrt,0.8902932254802831,False
59,300,10,9,log2,0.8680485338725986,True
60,290,10,9,log2,0.8680485338725986,False
61,290,10,9,sqrt,0.8832153690596563,False
62,300,10,9,sqrt,0.8837209302325582,False
63,310,10,9,sqrt,0.884732052578362,False
64,320,10,9,sqrt,0.8852376137512639,False
65,320,9,9,sqrt,0.8852376137512639,False
66,320,10,9,sqrt,0.8852376137512639,False
67,320,9,9,sqrt,0.8852376137512639,False
68,320,10,9,sqrt,0.8852376137512639,False
69,320,9,9,sqrt,0.8852376137512639,False
70,320,10,9,sqrt,0.8852376137512639,False
71,464,3,2,log2,0.8761375126390293,True
72,464,3,1,log2,0.8771486349848332,False
73,464,3,1,sqrt,0.8902932254802831,False
74,464,4,1,sqrt,0.8918099089989889,False
75,454,4,1,sqrt,0.8923154701718908,False
76,444,4,1,sqrt,0.8933265925176946,False
77,444,5,1,sqrt,0.8938321536905965,False
78,434,5,1,sqrt,0.8938321536905965,False
79,444,5,1,sqrt,0.8938321536905965,False
80,434,5,1,sqrt,0.8938321536905965,False
81,444,5,1,sqrt,0.8938321536905965,False
82,434,5,1,sqrt,0.8938321536905965,False
83,944,9,7,log2,0.8690596562184024,True
84,944,9,6,log2,0.8700707785642062,False
85,944,9,6,sqrt,0.8862487360970678,False
86,934,9,6,sqrt,0.8867542972699697,False
87,934,10,6,sqrt,0.8867542972699697,False
88,934,9,6,sqrt,0.8867542972699697,False
89,934,10,6,sqrt,0.8867542972699697,False
90,934,9,6,sqrt,0.8867542972699697,False
91,934,10,6,sqrt,0.8867542972699697,False
92,934,9,6,sqrt,0.8867542972699697,False
93,934,10,6,sqrt,0.8867542972699697,False
94,934,9,6,sqrt,0.8867542972699697,False
95,840,8,2,log2,0.8801820020222447,True
96,850,8,2,log2,0.8806875631951466,False
97,850,8,2,sqrt,0.8923154701718908,False
98,860,8,2,sqrt,0.8933265925176946,False
99,870,8,2,sqrt,0.8928210313447927,False
100,870,7,2,sqrt,0.8938321536905965,False
101,880,7,2,sqrt,0.8938321536905965,False
102,890,7,2,sqrt,0.8938321536905965,False
103,900,7,2,sqrt,0.8938321536905965,False
104,890,7,2,sqrt,0.8938321536905965,False
105,900,7,2,sqrt,0.8938321536905965,False
106,890,7,2,sqrt,0.8938321536905965,False
107,394,6,9,sqrt,0.8852376137512639,True
108,394,6,9,log2,0.8680485338725986,False
109,394,6,9,sqrt,0.8852376137512639,False
110,394,7,9,sqrt,0.8852376137512639,False
111,394,8,9,sqrt,0.8852376137512639,False
112,394,9,9,sqrt,0.8852376137512639,False
113,394,10,9,sqrt,0.8852376137512639,False
114,394,9,9,sqrt,0.8852376137512639,False
115,394,10,9,sqrt,0.8852376137512639,False
116,394,9,9,sqrt,0.8852376137512639,False
117,394,10,9,sqrt,0.8852376137512639,False
118,394,9,9,sqrt,0.8852376137512639,False
119,318,2,9,log2,0.8680485338725986,True
