,n_estimators,min_samples_split,min_samples_leaf,max_features,fitness,reinitialized
0,565,9,8,sqrt,0.8837209302325582,False
1,565,9,7,sqrt,0.8852376137512639,False
2,565,9,6,sqrt,0.8877654196157735,False
3,575,9,6,sqrt,0.8882709807886754,False
4,585,9,6,sqrt,0.8887765419615774,False
5,585,10,6,sqrt,0.8887765419615774,False
6,585,9,6,sqrt,0.8887765419615774,False
7,585,10,6,sqrt,0.8887765419615774,False
8,585,9,6,sqrt,0.8887765419615774,False
9,585,10,6,sqrt,0.8887765419615774,False
10,585,9,6,sqrt,0.8887765419615774,False
11,973,5,2,log2,0.8791708796764408,True
12,973,5,2,sqrt,0.8892821031344793,False
13,973,4,2,sqrt,0.8918099089989889,False
14,973,4,1,sqrt,0.8923154701718908,False
15,983,4,1,sqrt,0.8923154701718908,False
16,993,4,1,sqrt,0.8923154701718908,False
17,983,4,1,sqrt,0.8923154701718908,False
18,993,4,1,sqrt,0.8923154701718908,False
19,983,4,1,sqrt,0.8923154701718908,False
20,993,4,1,sqrt,0.8923154701718908,False
21,983,4,1,sqrt,0.8923154701718908,False
22,243,4,2,sqrt,0.8913043478260869,True
23,243,4,1,sqrt,0.8928210313447927,False
24,253,4,1,sqrt,0.8928210313447927,False
25,263,4,1,sqrt,0.8933265925176946,False
26,253,4,1,sqrt,0.8928210313447927,False
27,263,4,1,sqrt,0.8933265925176946,False
28,253,4,1,sqrt,0.8928210313447927,False
29,263,4,1,sqrt,0.8933265925176946,False
30,253,4,1,sqrt,0.8928210313447927,False
31,263,4,1,sqrt,0.8933265925176946,False
32,253,4,1,sqrt,0.8928210313447927,False
33,858,8,2,sqrt,0.8928210313447927,True
34,858,8,2,log2,0.8806875631951466,False
35,858,8,2,sqrt,0.8928210313447927,False
36,858,7,2,sqrt,0.8933265925176946,False
37,868,7,2,sqrt,0.8938321536905965,False
38,878,7,2,sqrt,0.8938321536905965,False
39,888,7,2,sqrt,0.8938321536905965,False
40,878,7,2,sqrt,0.8938321536905965,False
41,888,7,2,sqrt,0.8938321536905965,False
42,878,7,2,sqrt,0.8938321536905965,False
43,888,7,2,sqrt,0.8938321536905965,False
44,878,7,2,sqrt,0.8938321536905965,False
45,912,3,6,sqrt,0.8857431749241659,True
46,912,3,6,log2,0.8700707785642062,False
47,912,3,6,sqrt,0.8857431749241659,False
48,922,3,6,sqrt,0.8857431749241659,False
49,932,3,6,sqrt,0.8862487360970678,False
50,942,3,6,sqrt,0.8862487360970678,False
51,952,3,6,sqrt,0.8862487360970678,False
52,962,3,6,sqrt,0.8862487360970678,False
53,962,3,7,sqrt,0.8867542972699697,False
54,962,4,7,sqrt,0.8867542972699697,False
55,962,5,7,sqrt,0.8867542972699697,False
56,962,6,7,sqrt,0.8867542972699697,False
57,93,7,3,log2,0.8700707785642062,True
58,103,7,3,log2,0.8710819009100101,False
59,103,7,3,sqrt,0.8872598584428716,False
60,103,7,2,sqrt,0.890798786653185,False
61,93,7,2,sqrt,0.890798786653185,False
62,103,7,2,sqrt,0.890798786653185,False
63,93,7,2,sqrt,0.890798786653185,False
64,103,7,2,sqrt,0.890798786653185,False
65,93,7,2,sqrt,0.890798786653185,False
66,103,7,2,sqrt,0.890798786653185,False
67,93,7,2,sqrt,0.890798786653185,False
68,103,7,2,sqrt,0.890798786653185,False
69,296,10,9,sqrt,0.8842264914054601,True
70,296,10,9,log2,0.8680485338725986,False
71,296,10,9,sqrt,0.8842264914054601,False
72,306,10,9,sqrt,0.884732052578362,False
73,316,10,9,sqrt,0.8852376137512639,False
74,316,9,9,sqrt,0.8852376137512639,False
75,316,10,9,sqrt,0.8852376137512639,False
76,316,9,9,sqrt,0.8852376137512639,False
77,316,10,9,sqrt,0.8852376137512639,False
78,316,9,9,sqrt,0.8852376137512639,False
79,316,10,9,sqrt,0.8852376137512639,False
80,316,9,9,sqrt,0.8852376137512639,False
81,859,5,6,sqrt,0.8862487360970678,True
82,859,5,6,log2,0.8705763397371082,False
83,859,5,6,sqrt,0.8862487360970678,False
84,869,5,6,sqrt,0.8867542972699697,False
85,869,6,6,sqrt,0.8867542972699697,False
86,869,7,6,sqrt,0.8867542972699697,False
87,869,8,6,sqrt,0.8867542972699697,False
88,869,9,6,sqrt,0.8867542972699697,False
89,869,10,6,sqrt,0.8867542972699697,False
90,869,9,6,sqrt,0.8867542972699697,False
91,869,10,6,sqrt,0.8867542972699697,False
92,869,9,6,sqrt,0.8867542972699697,False
93,216,6,5,log2,0.871587462082912,True
94,216,7,5,log2,0.871587462082912,False
95,216,7,5,sqrt,0.8877654196157735,False
96,226,7,5,sqrt,0.8892821031344793,False
97,226,8,5,sqrt,0.8892821031344793,False
98,226,9,5,sqrt,0.8892821031344793,False
99,226,10,5,sqrt,0.8892821031344793,False
100,226,9,5,sqrt,0.8892821031344793,False
101,226,10,5,sqrt,0.8892821031344793,False
102,226,9,5,sqrt,0.8892821031344793,False
103,226,10,5,sqrt,0.8892821031344793,False
104,226,9,5,sqrt,0.8892821031344793,False
105,525,10,2,log2,0.8801820020222447,True
106,525,10,2,sqrt,0.8887765419615774,False
107,525,10,1,sqrt,0.8923154701718908,False
108,515,10,1,sqrt,0.8933265925176946,False
109,505,10,1,sqrt,0.8933265925176946,False
110,515,10,1,sqrt,0.8933265925176946,False
