,n_estimators,min_samples_split,min_samples_leaf,max_features,fitness
0,329,7,2,sqrt,0.8902932254802831
1,329,6,2,sqrt,0.8918099089989889
2,830,6,3,sqrt,0.8923154701718908
3,840,6,3,sqrt,0.8928210313447927
4,854,7,2,sqrt,0.8933265925176946
5,874,7,2,sqrt,0.8938321536905965
6,894,7,2,sqrt,0.8943377148634984
7,344,5,1,sqrt,0.8953488372093024
