,n_estimators,min_samples_split,min_samples_leaf,max_features,fitness
0,857,10,5,sqrt,0.8852376137512639
1,857,10,4,sqrt,0.8887765419615774
2,857,10,3,sqrt,0.8897876643073812
3,867,10,3,sqrt,0.8902932254802831
4,897,10,2,sqrt,0.890798786653185
5,897,9,2,sqrt,0.8913043478260869
6,897,8,2,sqrt,0.8933265925176946
