,n_estimators,min_samples_split,min_samples_leaf,max_features,fitness,reinitialized
0,672,4,4,sqrt,0.8882709807886754,False
1,672,4,3,sqrt,0.8902932254802831,False
2,672,4,2,sqrt,0.8913043478260869,False
3,672,4,1,sqrt,0.8938321536905965,False
4,672,5,1,sqrt,0.8948432760364005,False
5,682,5,1,sqrt,0.8948432760364005,False
6,672,5,1,sqrt,0.8948432760364005,False
7,682,5,1,sqrt,0.8948432760364005,False
8,672,5,1,sqrt,0.8948432760364005,False
9,682,5,1,sqrt,0.8948432760364005,False
10,672,5,1,sqrt,0.8948432760364005,False
11,674,3,7,log2,0.8670374115267947,True
12,674,3,6,log2,0.8695652173913043,False
13,674,3,6,sqrt,0.8882709807886754,False
14,664,3,6,sqrt,0.8887765419615774,False
15,664,4,6,sqrt,0.8887765419615774,False
16,664,5,6,sqrt,0.8887765419615774,False
17,664,6,6,sqrt,0.8887765419615774,False
18,664,7,6,sqrt,0.8887765419615774,False
19,664,8,6,sqrt,0.8887765419615774,False
20,664,9,6,sqrt,0.8887765419615774,False
21,664,10,6,sqrt,0.8887765419615774,False
22,664,9,6,sqrt,0.8887765419615774,False
23,930,5,4,sqrt,0.8887765419615774,True
24,930,5,4,log2,0.8756319514661274,False
25,930,5,4,sqrt,0.8887765419615774,False
26,930,5,3,sqrt,0.8913043478260869,False
27,940,5,3,sqrt,0.8913043478260869,False
28,950,5,3,sqrt,0.8918099089989889,False
29,950,6,3,sqrt,0.8918099089989889,False
30,950,5,3,sqrt,0.8918099089989889,False
31,950,6,3,sqrt,0.8918099089989889,False
32,950,5,3,sqrt,0.8918099089989889,False
33,950,6,3,sqrt,0.8918099089989889,False
34,950,5,3,sqrt,0.8918099089989889,False
35,917,2,5,sqrt,0.884732052578362,True
36,917,2,5,log2,0.8725985844287159,False
37,917,2,5,sqrt,0.884732052578362,False
38,917,2,4,sqrt,0.8892821031344793,False
39,917,2,3,sqrt,0.8913043478260869,False
40,927,2,3,sqrt,0.8918099089989889,False
41,927,3,3,sqrt,0.8918099089989889,False
42,927,4,3,sqrt,0.8918099089989889,False
43,927,5,3,sqrt,0.8918099089989889,False
44,927,6,3,sqrt,0.8918099089989889,False
45,927,5,3,sqrt,0.8918099089989889,False
46,927,6,3,sqrt,0.8918099089989889,False
47,927,5,3,sqrt,0.8918099089989889,False
48,853,2,2,log2,0.8776541961577351,True
49,853,2,1,log2,0.878159757330637,False
50,853,2,1,sqrt,0.8928210313447927,False
51,863,2,1,sqrt,0.8933265925176946,False
52,873,2,1,sqrt,0.8933265925176946,False
53,863,2,1,sqrt,0.8933265925176946,False
54,873,2,1,sqrt,0.8933265925176946,False
55,863,2,1,sqrt,0.8933265925176946,False
56,873,2,1,sqrt,0.8933265925176946,False
57,863,2,1,sqrt,0.8933265925176946,False
58,873,2,1,sqrt,0.8933265925176946,False
59,863,2,1,sqrt,0.8933265925176946,False
60,914,6,8,sqrt,0.8832153690596563,True
61,914,6,8,log2,0.8690596562184024,False
62,914,6,8,sqrt,0.8832153690596563,False
63,914,6,7,sqrt,0.8857431749241659,False
64,924,6,7,sqrt,0.8862487360970678,False
65,934,6,7,sqrt,0.8862487360970678,False
66,934,6,6,sqrt,0.8867542972699697,False
67,934,7,6,sqrt,0.8867542972699697,False
68,934,8,6,sqrt,0.8867542972699697,False
69,934,9,6,sqrt,0.8867542972699697,False
70,934,10,6,sqrt,0.8867542972699697,False
71,934,9,6,sqrt,0.8867542972699697,False
72,186,7,5,log2,0.8705763397371082,True
73,196,7,5,log2,0.872093023255814,False
74,196,7,5,sqrt,0.8857431749241659,False
75,196,7,4,sqrt,0.8897876643073812,False
76,206,7,4,sqrt,0.8902932254802831,False
77,206,8,4,sqrt,0.8902932254802831,False
78,206,7,4,sqrt,0.8902932254802831,False
79,206,8,4,sqrt,0.8902932254802831,False
80,206,7,4,sqrt,0.8902932254802831,False
81,206,8,4,sqrt,0.8902932254802831,False
82,206,7,4,sqrt,0.8902932254802831,False
83,206,8,4,sqrt,0.8902932254802831,False
84,856,9,2,log2,0.8791708796764408,True
85,866,9,2,log2,0.8796764408493428,False
86,866,9,2,sqrt,0.8902932254802831,False
87,866,8,2,sqrt,0.8928210313447927,False
88,876,8,2,sqrt,0.8933265925176946,False
89,876,7,2,sqrt,0.8938321536905965,False
90,886,7,2,sqrt,0.8938321536905965,False
91,896,7,2,sqrt,0.8938321536905965,False
92,886,7,2,sqrt,0.8938321536905965,False
93,896,7,2,sqrt,0.8938321536905965,False
94,886,7,2,sqrt,0.8938321536905965,False
95,896,7,2,sqrt,0.8938321536905965,False
96,473,6,2,log2,0.8816986855409504,True
97,473,6,1,log2,0.8796764408493428,False
98,473,6,1,sqrt,0.8892821031344793,False
99,473,5,1,sqrt,0.8923154701718908,False
100,483,5,1,sqrt,0.8933265925176946,False
101,493,5,1,sqrt,0.8923154701718908,False
102,483,5,1,sqrt,0.8933265925176946,False
103,493,5,1,sqrt,0.8923154701718908,False
104,483,5,1,sqrt,0.8933265925176946,False
105,493,5,1,sqrt,0.8923154701718908,False
106,483,5,1,sqrt,0.8933265925176946,False
107,493,5,1,sqrt,0.8923154701718908,False
108,270,5,5,log2,0.8731041456016178,True
109,270,6,5,log2,0.8731041456016178,False
110,270,6,5,sqrt,0.8857431749241659,False
111,270,6,4,sqrt,0.890798786653185,False
112,270,7,4,sqrt,0.890798786653185,False
113,270,8,4,sqrt,0.890798786653185,False
114,270,7,4,sqrt,0.890798786653185,False
115,270,8,4,sqrt,0.890798786653185,False
116,270,7,4,sqrt,0.890798786653185,False
117,270,8,4,sqrt,0.890798786653185,False
118,270,7,4,sqrt,0.890798786653185,False
119,270,8,4,sqrt,0.890798786653185,False
120,270,7,4,sqrt,0.890798786653185,False
121,495,3,4,sqrt,0.8892821031344793,True
122,495,3,3,sqrt,0.890798786653185,False
123,485,3,3,sqrt,0.8913043478260869,False
124,475,3,3,sqrt,0.8913043478260869,False
125,485,3,3,sqrt,0.8913043478260869,False
126,475,3,3,sqrt,0.8913043478260869,False
127,485,3,3,sqrt,0.8913043478260869,False
128,475,3,3,sqrt,0.8913043478260869,False
129,485,3,3,sqrt,0.8913043478260869,False
130,475,3,3,sqrt,0.8913043478260869,False
131,485,3,3,sqrt,0.8913043478260869,False
132,879,5,9,log2,0.8660262891809909,True
133,879,5,8,log2,0.8685540950455005,False
134,879,5,8,sqrt,0.8832153690596563,False
135,879,5,7,sqrt,0.8852376137512639,False
136,889,5,7,sqrt,0.8857431749241659,False
137,889,5,6,sqrt,0.8862487360970678,False
138,889,6,6,sqrt,0.8862487360970678,False
139,889,7,6,sqrt,0.8862487360970678,False
140,889,8,6,sqrt,0.8862487360970678,False
141,889,9,6,sqrt,0.8862487360970678,False
142,889,10,6,sqrt,0.8862487360970678,False
143,889,9,6,sqrt,0.8862487360970678,False
144,623,3,5,sqrt,0.8862487360970678,True
145,623,3,5,log2,0.8725985844287159,False
146,623,3,5,sqrt,0.8862487360970678,False
147,623,3,6,sqrt,0.8887765419615774,False
148,623,4,6,sqrt,0.8887765419615774,False
149,623,5,6,sqrt,0.8887765419615774,False
150,623,6,6,sqrt,0.8887765419615774,False
151,623,7,6,sqrt,0.8887765419615774,False
152,623,8,6,sqrt,0.8887765419615774,False
153,623,9,6,sqrt,0.8887765419615774,False
154,623,10,6,sqrt,0.8887765419615774,False
155,623,9,6,sqrt,0.8887765419615774,False
156,783,9,4,log2,0.8761375126390293,True
157,783,8,4,log2,0.8746208291203236,False
158,783,8,4,sqrt,0.8892821031344793,False
159,783,9,4,sqrt,0.890798786653185,False
160,793,9,4,sqrt,0.8902932254802831,False
161,783,9,4,sqrt,0.890798786653185,False
162,793,9,4,sqrt,0.8902932254802831,False
163,783,9,4,sqrt,0.890798786653185,False
164,793,9,4,sqrt,0.8902932254802831,False
165,783,9,4,sqrt,0.890798786653185,False
166,793,9,4,sqrt,0.8902932254802831,False
167,783,9,4,sqrt,0.890798786653185,False
168,340,6,4,sqrt,0.8892821031344793,True
169,330,6,4,sqrt,0.8897876643073812,False
170,320,6,4,sqrt,0.890798786653185,False
171,320,7,4,sqrt,0.890798786653185,False
172,320,8,4,sqrt,0.890798786653185,False
173,320,7,4,sqrt,0.890798786653185,False
174,320,8,4,sqrt,0.890798786653185,False
175,320,7,4,sqrt,0.890798786653185,False
176,320,8,4,sqrt,0.890798786653185,False
177,320,7,4,sqrt,0.890798786653185,False
178,320,8,4,sqrt,0.890798786653185,False
179,507,9,9,sqrt,0.8842264914054601,True
180,507,9,9,log2,0.8665318503538928,False
181,507,9,9,sqrt,0.8842264914054601,False
182,517,9,9,sqrt,0.8852376137512639,False
183,527,9,9,sqrt,0.8852376137512639,False
184,537,9,9,sqrt,0.8852376137512639,False
185,547,9,9,sqrt,0.8852376137512639,False
186,557,9,9,sqrt,0.8857431749241659,False
187,557,10,9,sqrt,0.8857431749241659,False
188,557,9,9,sqrt,0.8857431749241659,False
189,557,10,9,sqrt,0.8857431749241659,False
190,557,9,9,sqrt,0.8857431749241659,False
191,897,6,2,log2,0.8791708796764408,True
192,887,6,2,log2,0.8796764408493428,False
193,887,6,2,sqrt,0.890798786653185,False
194,887,7,2,sqrt,0.8938321536905965,False
195,877,7,2,sqrt,0.8938321536905965,False
196,887,7,2,sqrt,0.8938321536905965,False
197,877,7,2,sqrt,0.8938321536905965,False
198,887,7,2,sqrt,0.8938321536905965,False
199,877,7,2,sqrt,0.8938321536905965,False
