,fitness
0,0.7637166225924973
1,0.793802015743626
2,0.7977798592672297
3,0.7985432849698778
4,0.8038287197566976
5,0.8043741792100212
6,0.8045986706376906
7,0.8048242388586557
8,0.8053700979345628
