,n_estimators,learning_rate,max_depth,subsample,fitness
0,331,0.41280443020088164,7,0.27636348749224765,0.8301314459049545
1,331,0.37280443020088166,7,0.27636348749224765,0.8483316481294236
2,331,0.37280443020088166,7,0.32636348749224764,0.8518705763397371
3,331,0.3328044302008817,7,0.32636348749224764,0.852881698685541
4,331,0.3328044302008817,7,0.37636348749224763,0.8599595551061678
5,331,0.3328044302008817,7,0.4263634874922476,0.8609706774519716
6,321,0.3328044302008817,7,0.4263634874922476,0.8619817997977756
7,815,0.46460301277090565,10,0.7542510855334016,0.878159757330637
8,815,0.46460301277090565,10,0.8042510855334016,0.8832153690596563
9,940,0.013721121286247287,6,0.46070730242044655,0.8882709807886754
10,940,0.013721121286247287,6,0.5107073024204466,0.8897876643073812
11,960,0.013721121286247287,7,0.5107073024204466,0.8902932254802831
12,405,0.3466243495268816,10,0.9948342651108973,0.8918099089989889
13,163,0.4035740493109495,7,0.9158222472077195,0.8923154701718908
14,811,0.016948975830350724,9,0.6311100557208125,0.8958543983822043
15,821,0.016948975830350724,9,0.6311100557208125,0.8963599595551062
16,841,0.016948975830350724,9,0.6311100557208125,0.8968655207280081
17,337,0.13971024297756396,10,0.9533867026825908,0.8998988877654196
