,n_estimators,min_samples_split,min_samples_leaf,max_features,fitness
0,951,9,9,log2,0.7538618005437228
1,951,9,9,sqrt,0.7865550062285893
2,991,9,9,sqrt,0.7873120370334291
3,656,7,8,sqrt,0.7877861276836904
4,656,7,7,sqrt,0.7905294569314533
5,656,7,6,sqrt,0.7950293473839181
6,666,7,6,sqrt,0.7957908697473126
7,259,2,4,sqrt,0.7973182994397259
8,269,2,4,sqrt,0.7998469627849273
9,287,5,1,sqrt,0.8033782916613191
10,287,4,1,sqrt,0.8038287197566976
11,297,4,1,sqrt,0.8048242388586557
12,307,5,1,sqrt,0.8060462441577287
