,fitness
0,0.8756319514661274
1,0.8816986855409504
2,0.8872598584428716
3,0.8913043478260869
4,0.8923154701718908
5,0.8938321536905965
6,0.8943377148634984
7,0.8958543983822043
8,0.8963599595551062
